stocks,weights,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani,config
27//6//23,0.25//0.25//0.25,"[0.25, 0.25, 0.25]",0.2862200629982987,0.7895961806353944,0.4570729209361702,0.2576041429109504,0.6421071710956008,0.2667325434853455,2.373940437944309,1.5664464987944748,Random_indextrack1_MVO_weight_return
25//3//29//26,0.25//0.25//0.25//0.25,"[0.25, 0.25, 0.25, 0.25]",-0.1415461661588824,0.8529697461021527,0.2914832921789757,0.3292763007818693,1.9745485711820612,0.5687477705253337,3.4560989476344783,4.834171380638523,Random_indextrack1_MVO_weight_return
4//19//24//1//30//23,0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",-0.4600379506603075,0.9110754853503644,0.3252982925418607,0.3883429563638878,0.5747060357787405,0.4174986676494155,1.355228362677944,1.401149648272456,Random_indextrack1_MVO_weight_return
16//29//27,0.3333333333333333//0.3333333333333333//0.3333333333333333,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.7074509728667547,0.9672503819477828,0.8064202670907864,0.1256789690815475,2.98421450562573,0.6975198220428674,4.265562657290155,7.310310666101889,Random_indextrack1_MVO_weight_return
3//30//17,0.3333333333333333//0.3333333333333333//0.3333333333333333,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",-0.0362196102632288,0.5005967302707082,0.1715562544526541,0.2577933673241148,0.4360071050140908,0.4852564902590516,0.8801677331220895,1.060999644590942,Random_indextrack1_MVO_weight_return
25//9//18//22,0.25//0.25//0.25//0.25,"[0.25, 0.25, 0.25, 0.25]",0.0097263527082646,0.715296006283406,0.3647875218617695,0.2607625583237911,0.4849134768931838,0.4550091229423155,1.0461624896992034,1.1809393044211307,Random_indextrack1_MVO_weight_return
28//6//31//12//18,0.2//0.2//0.2//0.2//0.2,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0088218595575869,0.9445764932994608,0.3791269948652241,0.3185127370822251,0.5423971307801776,0.4620678425365697,1.154586148760081,1.3219141841371556,Random_indextrack1_MVO_weight_return
30//1,0.5//0.5,"[0.5, 0.5]",0.1828114828011395,0.1828114828011395,0.1828114828011395,0.0,0.2843874951224427,0.4803165070058457,0.5735540859083776,0.6891625253102917,Random_indextrack1_MVO_weight_return
4//0//15,0.25//0.25//0.25,"[0.25, 0.25, 0.25]",0.9406665220545484,0.9697204483661168,0.9584374212558182,0.0139313178624598,1.0292243906007217,0.3446419175325433,2.960534800600324,2.5158260139349395,Random_indextrack1_MVO_weight_return
23//24//10//4,0.2//0.2//0.2//0.2,"[0.2, 0.2, 0.2, 0.2]",-0.6660796529567549,0.9110754853503644,0.0246284330106083,0.5765178842692121,0.5052648528887261,0.3366964529328023,1.4742206179041344,1.2308497152775346,Random_indextrack1_MVO_weight_return
84//212//214//103//133//112//91//57//173//56//171//172//225//203//90//12//94//163//85,0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842//0.05263157894736842,"[0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]",-0.7640523525826586,0.9712599056940034,0.5311423140919931,0.5238458473560051,-0.9360286887357214,0.4477796657233487,-2.110253682934155,-2.1506353205644744,Random_indextrack5_uniform_weight_returns_return
16//110//9//69//33//209//178//82//13//0//115//24//171//103//111//139//215//158//90//4,0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05//0.05,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",-0.7935622134200514,0.9660685483443036,0.3692261012758109,0.6091936089862265,-0.5434391655484644,0.3983045660441349,-1.3867256683350735,-1.2454514410831228,Random_indextrack5_uniform_weight_returns_return
