stocks,weights,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani,config
8//9//17//23//28//29//38//60//62//66//69//72//75//84,0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142//0.07142857142857142,-0.8090130417829393,0.9801998582195572,0.5468590544129199,0.5304920666738094,1.2042697304562802,0.2902237521699069,4.118786699981984,5.249835756599279,0.9510838239603232,Mantegna_indextrack3_MVO_weight_sharpe
0//4//10//25//33//41//56//59//68//76//77//88,0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333//0.08333333333333333,0.1618457191238383,0.9865149587788612,0.7694134399698027,0.2227274666943585,0.8590408150790497,0.325703678309804,2.610166454031906,3.7406565190189687,0.6059827794611202,Mantegna_indextrack3_MVO_weight_sharpe
3//5//12//16//18//34//39//53//54//81//85,0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091//0.09090909090909091,-0.0789708085395682,0.9732263805612716,0.5653352805012447,0.2631858987641023,1.0599358903528353,0.2662206197237637,3.947988294232855,4.618875761471587,0.9120132173043036,Mantegna_indextrack3_MVO_weight_sharpe
14//15//30//31//42//44//49//51//61//64,0.1//0.1//0.1//0.1//0.1//0.1//0.1//0.1//0.1//0.1,-0.5535792664487914,0.9431916478394828,0.2747589582795918,0.4191815037339245,0.8542002364112941,0.2410203274685781,3.507174043324192,3.719495774661073,0.8111757409234203,Mantegna_indextrack3_MVO_weight_sharpe
1//24//37//47//52//63//67//71//82,0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111//0.1111111111111111,-0.7403620922805905,0.9057108845274854,0.367317293855288,0.5257713565006421,0.8661204582920158,0.256767867547295,3.338503631627977,3.771605405599949,0.7725919187794872,Mantegna_indextrack3_MVO_weight_sharpe
6//21//35//36//40//43//74//89,0.125//0.125//0.125//0.125//0.125//0.125//0.125//0.125,-0.6051241878385634,0.9399019929818068,0.4819355548588244,0.4559606710755633,0.7311002102039685,0.262768991617167,2.748422505103476,3.1813600756432585,0.6376092326796944,Mantegna_indextrack3_MVO_weight_sharpe
11//22//45//46//48//50//79,0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285,-0.817741493730316,0.974710976995632,0.2870600893071937,0.5881698130432892,0.6814275052787292,0.2549286363571078,2.6381010579629147,2.9642142584520466,0.6123728971995916,Mantegna_indextrack3_MVO_weight_sharpe
2//7//13//19//55//70//73,0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285,-0.4821585687550922,0.806915390397383,0.295908933090746,0.3639133946196199,0.73931410363387,0.3221464322451979,2.267335691235977,3.217267373299827,0.5275592963844863,Mantegna_indextrack3_MVO_weight_sharpe
20//26//58//65//78//83//86,0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285//0.14285714285714285,-0.6146163849355694,0.6848118881908902,0.0102692802183965,0.3785134256727596,0.3693395264314517,0.3020870269217702,1.1931645330959304,1.5999116841440446,0.2818396796418408,Mantegna_indextrack3_MVO_weight_sharpe
27//32//57//80//87,0.2//0.2//0.2//0.2//0.2,-0.1793002258882568,0.830254162894879,0.2972836224897325,0.2921727241461458,0.6819066068435301,0.3194605082882834,2.1066973518874024,2.9663086662553426,0.4908128329556472,Mantegna_indextrack3_MVO_weight_sharpe
1//2//5//6//7//14//36//52//55//58//62//75//77//87//92,0.02938919710395931//0.02555541532821314//0.04518549446993048//0.36217293663824923//0.04855437567550745//0.02889976894316149//0.025684875975427162//0.028592651111091612//0.017163169990313875//0.024881078319643406//0.023879018455480853//0.0148182083464982//0.23627279717152458//0.024757874503810774//0.06419313796718841,-0.5495415074746266,0.976948737844922,0.5913756542271994,0.3330306546803003,0.9338315935969256,0.3052113665578614,3.030462475982455,3.2213919474630988,0.8826979039611962,Mantegna_indextrack4_HRP_weight
24//25//27//33//38//41//45//56//70//80//84//89//90,0.013654932663059564//0.18932478374308506//0.0760868621337209//0.052424105315644995//0.07464881774963598//0.016535607253909956//0.10454481412698158//0.08522138531961822//0.1863859754649485//0.03423366814055194//0.004082468039867515//0.011341892494616151//0.15151468755435962,-0.6537622252167932,0.9583474463841802,0.3397611420677014,0.5128276912156038,0.9483244670977038,0.2993029864217876,3.1387072956693984,3.271655411261954,0.9139090135877708,Mantegna_indextrack4_HRP_weight
0//3//4//39//51//53//57//64//73//82//95,0.1887980953562759//0.007013431741814963//0.20926673732712525//0.01732119807745381//0.004196824812784021//0.01087988947960587//0.058482027503127386//0.009100174428826505//0.03023933846967451//0.021241971336011245//0.4434603114673005,-0.2742096818385418,0.9779292776075162,0.674721169903286,0.3796738877080669,1.4779960648224215,0.3774014231703917,3.8926616982023,5.108636129826044,1.1313028212447966,Mantegna_indextrack4_HRP_weight
8//21//42//46//50//66//69//74//81//96,0.02398371718852185//0.027427219369328643//0.15739683934896714//0.09917418199761727//0.2580906858418027//0.12990218646546736//0.0826961019256614//0.020936968078205904//0.16568652075753623//0.03470557902689145,-0.6427816991632468,0.969074982583708,0.3854262498277901,0.6619697002023042,1.0363361823508004,0.3627434579269238,2.832404444238886,3.5768932692520634,0.8255902201103658,Mantegna_indextrack4_HRP_weight
