stocks,weights,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani,config
1//5//10//19//29,0.276005450717042//0.12785622170156552//0.27650533318017395//0.10919690361394632//0.2104360907872721,"[0.276005450717042, 0.12785622170156552, 0.27650533318017395, 0.10919690361394632, 0.2104360907872721]",-0.6645906428585429,0.6529506825246969,0.1334724786302877,0.4886623101259604,1.3291976478180123,0.483774094895452,2.7291615275583143,3.2514906941476225,SA_indextrack1_5
7//9//10//16//25,0.1203425308878584//0.25384140090709056//0.29007220354347496//0.29150829281946405//0.04423557184211201,"[0.1203425308878584, 0.25384140090709056, 0.29007220354347496, 0.29150829281946405, 0.04423557184211201]",-0.5956115848660342,0.8880519413126401,0.1767740072402923,0.4860005399711002,0.8439447418822815,0.5286836244166323,1.579479112491329,2.061439863686769,SA_indextrack1_5
7//10//12//16//29,0.1361839303799757//0.47822879577488225//0.2573273418585456//0.026792541212595916//0.10146739077400053,"[0.1361839303799757, 0.47822879577488225, 0.2573273418585456, 0.026792541212595916, 0.10146739077400053]",-0.6645906428585429,0.9672503819477828,0.1119859310424133,0.5145911749748867,0.7256578670027612,0.5537594468954699,1.2943487845148396,1.7713490842991717,SA_indextrack1_5
1//11//19//20//25,0.39177229108437456//0.13678680243314884//0.2684074917411571//0.018953405692424454//0.16278603929530336,"[0.39177229108437456, 0.13678680243314884, 0.2684074917411571, 0.018953405692424454, 0.16278603929530336]",-0.697068182304739,0.876073886758508,0.28303432071395,0.5589637008772007,0.0892055494581095,0.4495642149091614,0.1786297636575368,0.2104916432041907,SA_indextrack1_5
5//10//13//16//31,0.15644965678109474//0.23814015014880874//0.018104325824877573//0.33216401647738547//0.2035242865781757,"[0.15644965678109474, 0.23814015014880874, 0.018104325824877573, 0.33216401647738547, 0.2035242865781757]",-0.5956115848660342,0.8874768722091396,0.2740457564904113,0.5695480726639254,0.8328286079419714,0.5305899862043525,1.5528536711294847,2.034178276449757,SA_indextrack1_5
2//6//10//12//14,0.15931017796367858//0.127515527641276//0.27813811810986017//0.04092388393346821//0.35407682895478704,"[0.15931017796367858, 0.127515527641276, 0.27813811810986017, 0.04092388393346821, 0.35407682895478704]",-0.6175334318339432,0.893354343340645,0.0393790045595721,0.4533847016497974,0.4379446768308606,0.4515157473806339,0.9502319228506776,1.0657514120124645,SA_indextrack1_5
10//11//17//21//25,0.39335330303914207//0.09274754948763886//0.22303221949562824//0.20020986532108462//0.09065706265650622,"[0.39335330303914207, 0.09274754948763886, 0.22303221949562824, 0.20020986532108462, 0.09065706265650622]",-0.6128893048805083,0.5434532567333867,-0.045694152899749,0.3931359480741626,0.4020715990080794,0.494285606066928,0.7954340449777179,0.9777750484874168,SA_indextrack1_5
7//8//12//24//29,0.015060955240753873//0.33285110560801384//0.14230312183351043//0.2769077072916549//0.2328771100260669,"[0.015060955240753873, 0.33285110560801384, 0.14230312183351043, 0.2769077072916549, 0.2328771100260669]",-0.3253206528244984,0.92810478420985,0.3975511237863108,0.4237270787679184,1.9262297094592429,0.5577137583501186,3.437838283084979,4.715672550818471,SA_indextrack1_5
10//14//19//24//31,0.277783559805433//0.3176373489157476//0.13599927926061828//0.18297675501959967//0.06522567063412742,"[0.277783559805433, 0.3176373489157476, 0.13599927926061828, 0.18297675501959967, 0.06522567063412742]",-0.5316379690746142,0.8437370395174831,0.0422134556488611,0.433623258059347,0.4318847721117475,0.4672356252707877,0.9052922106840752,1.050889894326985,SA_indextrack1_5
4//5//10//14//31,0.11382058245238713//0.36579556101041205//0.31173208529046564//0.20444572796738197//0.004206043279353339,"[0.11382058245238713, 0.36579556101041205, 0.31173208529046564, 0.20444572796738197, 0.004206043279353339]",-0.6660796529567549,0.8015996008590979,0.0194896613688334,0.4916622854778541,0.5114539759844413,0.4895796755078799,1.0265008968419738,1.2460281325312703,SA_indextrack1_5
5//10//14//19//29,0.031758285188340944//0.31141993780239796//0.26086802772256545//0.21056316386338397//0.14925094675779238,"[0.031758285188340944, 0.31141993780239796, 0.26086802772256545, 0.21056316386338397, 0.14925094675779238]",-0.6645906428585429,0.6529506825246969,-0.0094148736688748,0.4124645527581159,1.0802437279160315,0.4871811629850643,2.1990664034538554,2.640947582500443,SA_indextrack1_5
