min,max,ptmean,config
0.0,0.0,0.0,Splex_indextrack4_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack2_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack2_CLA_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack1_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack3_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack3_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack4_CLA_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack3_CLA_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack1_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack2_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack3_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack2_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack4_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack1_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack4_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack1_CLA_weight_2_sharpe
