min,max,ptmean,config
0.4,0.4,0.4,Splex_indextrack4_CLA_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack2_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack4_CLA_weight_2_volatility
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack4_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_return
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_HRP_weight_2
0.75,0.75,0.75,Splex_indextrack2_CLA_weight_2_sharpe
0.4,0.4,0.4,Splex_indextrack4_MVO_weight_2_risk
0.75,0.75,0.75,Splex_indextrack2_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_sharpe
0.75,0.75,0.75,Splex_indextrack2_MVO_weight_2_volatility
0.4,0.4,0.4,Splex_indextrack4_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack1_CLA_weight_2_volatility
0.4,0.4,0.4,Splex_indextrack4_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack3_CLA_weight_2_sharpe
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_MVO_weight_2_return
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_HRP_weight_2
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack1_CLA_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack2_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_volatility
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_MVO_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack4_CLA_weight_2_sharpe
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack1_HRP_weight_2
0.0,0.0,0.0,Splex_indextrack4_MVO_weight_2_return
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_CLA_weight_2_volatility
0.75,0.75,0.75,Splex_indextrack2_HRP_weight_2
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack4_HRP_weight_2
0.4,0.4,0.4,Splex_indextrack4_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack3_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack3_uniform_weight_returns_2_return
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_MVO_weight_2_sharpe
0.75,0.75,0.75,Splex_indextrack2_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack2_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_sharpe
0.4,0.4,0.4,Splex_indextrack4_MVO_weight_2_return
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack1_uniform_weight_returns_2_return
0.0,0.0,0.0,Splex_indextrack1_MVO_weight_2_return
0.0,0.0,0.0,Splex_indextrack3_CLA_weight_2_volatility
0.0,0.0,0.0,Splex_indextrack2_CLA_weight_2_volatility
0.75,0.75,0.75,Splex_indextrack2_MVO_weight_2_return
0.4,0.4,0.4,Splex_indextrack4_MVO_weight_2_sharpe
0.75,0.75,0.75,Splex_indextrack2_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack2_CLA_weight_2_sharpe
0.4,0.4,0.4,Splex_indextrack4_HRP_weight_2
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_CLA_weight_2_sharpe
0.6666666666666666,0.6666666666666666,0.6666666666666666,Splex_indextrack3_CLA_weight_2_sharpe
0.2857142857142857,0.2857142857142857,0.2857142857142857,Splex_indextrack1_MVO_weight_2_sharpe
0.0,0.0,0.0,Splex_indextrack3_HRP_weight_2
